"repo","number","title","url","date"
"jupyter/jupyter","683","Add persona centric docs","https://github.com/jupyter/jupyter/issues/683","2023-05-15"
"jupyter/jupyter","667","Use excalidraw for our manually-created diagrams","https://github.com/jupyter/jupyter/issues/667","2022-12-17"
"jupyter/jupyter","657","Refactor the documentation to use the main branch","https://github.com/jupyter/jupyter/issues/657","2022-11-02"
"jupyter/jupyter","620","A11y - Jupyter logo does not have enough contrast in dark mode","https://github.com/jupyter/jupyter/issues/620","2022-07-28"
"jupyter/jupyter","581","Why have an Advanced Topics section when there is only one ""topic?""","https://github.com/jupyter/jupyter/issues/581","2021-11-09"
"jupyter/jupyter","511","Anyone want to help with a round of documentation improvements?","https://github.com/jupyter/jupyter/issues/511","2020-06-05"
"jupyter/jupyter","430","Translating Official Documentation to Spanish","https://github.com/jupyter/jupyter/issues/430","2019-06-23"
"jupyter/jupyter","424","Notebook server API documentation lacks information about trust","https://github.com/jupyter/jupyter/issues/424","2019-05-01"
"jupyter/jupyter","412","Some things we can improve in the documentation","https://github.com/jupyter/jupyter/issues/412","2019-03-30"
"jupyter/jupyter","306","Create a man page","https://github.com/jupyter/jupyter/issues/306","2018-01-02"
"jupyter/jupyter","242","Document JSON config format","https://github.com/jupyter/jupyter/issues/242","2017-02-28"
"jupyter/jupyter","220","Glossary in docs","https://github.com/jupyter/jupyter/issues/220","2016-11-10"
"jupyter/jupyter","216","Review top-level docs for prospective kernel authors","https://github.com/jupyter/jupyter/issues/216","2016-10-30"
"jupyter/jupyter","190","Citing Jupyter","https://github.com/jupyter/jupyter/issues/190","2016-08-08"
"jupyter/jupyter","159","[docs/theme] Pay attention to the ""width"" of screenshot.","https://github.com/jupyter/jupyter/issues/159","2016-05-11"
"jupyter/jupyter","137","Too many documentation kill the documentation ?","https://github.com/jupyter/jupyter/issues/137","2016-04-08"
"jupyter/jupyter","128","Create a developer guide - action item from dev mtg","https://github.com/jupyter/jupyter/issues/128","2016-03-31"
"jupyter/jupyter","109","Link to dev-install from Install section.","https://github.com/jupyter/jupyter/issues/109","2016-02-17"
"jupyter/jupyter","66","[Docs] list supported mimetype ","https://github.com/jupyter/jupyter/issues/66","2015-11-10"
"jupyter/jupyter","51","Create a better way to manage subproject docs","https://github.com/jupyter/jupyter/issues/51","2015-10-04"
"jupyter/notebook","7149","Provide access to the documentation for older version","https://github.com/jupyter/notebook/issues/7149","2023-11-12"
"jupyter/notebook","7148","Installation guide (android, termux)","https://github.com/jupyter/notebook/issues/7148","2023-11-10"
"jupyter/notebook","7029","Add guidelines for setting up development environment using yarn and npm in CONTRIBUTING.md","https://github.com/jupyter/notebook/issues/7029","2023-09-03"
"jupyter/notebook","6987","JN 7 → Code Folding starts at the first line regardless the type","https://github.com/jupyter/notebook/issues/6987","2023-07-28"
"jupyter/notebook","6981","Rework Notebook 7 docs accessibility section","https://github.com/jupyter/notebook/issues/6981","2023-07-25"
"jupyter/notebook","6875","Get versioned Notebook framework trove classifiers on PyPI","https://github.com/jupyter/notebook/issues/6875","2023-05-16"
"jupyter/notebook","6849","Revise `pyzmq` requirements in documentation","https://github.com/jupyter/notebook/issues/6849","2023-04-21"
"jupyter/notebook","6848","Very poor navigation in new readthedocs builds","https://github.com/jupyter/notebook/issues/6848","2023-04-20"
"jupyter/notebook","6680","Add a large deprecation notice to the front-end extensions documentation","https://github.com/jupyter/notebook/issues/6680","2023-01-06"
"jupyter/notebook","6659","Document .ipynb_checkpoints directory","https://github.com/jupyter/notebook/issues/6659","2022-12-08"
"jupyter/notebook","6644","Updates to the contributor.rst file and addition of CONFIGURATION.md file","https://github.com/jupyter/notebook/pull/6644","2022-11-26"
"jupyter/notebook","6486","feature request: add run buttons like ipynb extension for vscode","https://github.com/jupyter/notebook/issues/6486","2022-07-23"
"jupyter/notebook","4304","Running `jupyter notebook` opens visual studio code, not a browser","https://github.com/jupyter/notebook/issues/4304","2018-12-27"
"jupyter/notebook","4178","Buttons don't show up properly in Sphinx docs","https://github.com/jupyter/notebook/issues/4178","2018-11-07"
"jupyter/notebook","3550","Add faq entry about installing on python without sqlite extensions","https://github.com/jupyter/notebook/issues/3550","2018-04-20"
"jupyter/notebook","1643","Run cells from script or the command line?","https://github.com/jupyter/notebook/issues/1643","2016-07-28"
